asn,country
199083,['AT']
327759,['MZ']
197163,['RU']
328650,['SN']
25470,['GB']
211290,['IT']
266359,['BR']
201460,['NL']
268314,['BR']
54015,['US']
264328,['BR']
15451,['DE']
41468,['PL']
18818,['US']
271254,['BR']
43766,['SA']
54634,['US']
30781,['FR']
262266,['AR']
48636,['PL']
8744,['RU']
18196,['IN']
20972,['IT']
62114,['RO']
393333,['US']
395130,['US']
205126,['RU']
197498,"['UA', 'RU']"
138844,['ID']
9678,"['NL', 'TW']"
139197,['BD']
138711,['IN']
47029,['US']
47329,['PL']
63582,['CN']
62001,"['NL', 'US']"
31575,['RU']
264340,['BR']
198288,"['LI', 'CH']"
62784,['US']
43905,"['LB', 'SE', 'IQ', 'NO', 'GB', 'US']"
328912,['ZA']
136062,['ID']
8454,['DE']
397392,['US']
202404,['UA']
40405,['US']
45008,"['GB', 'US']"
396946,['CA']
54096,['US']
33509,['US']
134324,['IN']
35146,['IT']
12399,['DE']
54039,['US']
50632,['GB']
60862,['RU']
204240,['RU']
24449,['HK']
41848,['SE']
45770,['ID']
199584,['PL']
395574,['US']
32020,['BM']
62997,['CA']
51442,['RU']
29828,['US']
43482,['LT']
51559,"['RU', 'TR']"
265785,['PE']
198296,['DE']
210300,['PT']
268881,['BR']
39358,['SA']
55324,['VN']
210151,['NL']
34576,['SE']
394378,['US']
270275,['BR']
58326,['CY']
21804,['CA']
